09/13/2012,50,20,10,10.4
09/14/2012,72,20,2,10.76388888888889
09/15/2012,55,20,5,10.49090909090909
09/16/2012,63,30,5,12.761904761904763
09/17/2012,67,30,5,10.447761194029852
09/18/2012,53,80,5,12.830188679245284
09/19/2012,57,10,1,9.228070175438596
09/20/2012,52,20,5,12.692307692307692
09/21/2012,72,20,1,10.180555555555555
09/22/2012,70,20,-999,-3.757142857142857
09/23/2012,34,20,-999,-48.6764705882353
09/24/2012,70,20,1,10.714285714285714
09/25/2012,60,30,0,11.966666666666667
09/26/2012,48,20,4,12.166666666666666
09/27/2012,60,40,5,11.633333333333333
09/28/2012,51,30,-999,-8.294117647058824
09/29/2012,80,50,3,14.625
09/30/2012,50,20,5,10.8
10/01/2012,56,20,2,10.392857142857142
10/02/2012,52,20,10,12.788461538461538
10/03/2012,50,30,5,11.9
10/04/2012,39,20,-999,-12.23076923076923
10/05/2012,57,50,4,19.894736842105264
10/06/2012,36,40,-999,-64.63888888888889
10/07/2012,37,20,0,11.45945945945946
10/08/2012,52,30,5,13.557692307692308
10/09/2012,63,20,5,12.476190476190476
10/10/2012,60,20,0,13.933333333333334
10/11/2012,60,30,5,13.633333333333333
10/12/2012,57,60,10,18.24561403508772
10/13/2012,80,40,5,15.8125
10/14/2012,63,40,5,19.523809523809526
10/15/2012,54,40,5,14.814814814814815
10/16/2012,57,30,5,12.666666666666666
10/17/2012,70,20,5,13.442857142857143
10/18/2012,62,40,6,14.903225806451612
10/19/2012,53,60,-999,-18.037735849056602
10/20/2012,82,50,5,21.670731707317074
10/21/2012,66,50,7,18.40909090909091
10/22/2012,64,30,5,13.296875
10/23/2012,62,40,5,18.258064516129032
10/24/2012,66,20,0,12.257575757575758
10/25/2012,56,40,5,17.321428571428573
10/26/2012,77,30,5,17
10/27/2012,76,60,5,21.82894736842105
10/28/2012,56,45,3,22.107142857142858
10/29/2012,61,40,10,16.80327868852459
10/30/2012,51,45,5,20.235294117647058
10/31/2012,54,30,5,17.074074074074073
11/01/2012,49,20,5,14.285714285714286
11/02/2012,71,50,-999,1.2394366197183098
11/03/2012,70,45,4,19.12857142857143
11/04/2012,67,50,1,24.64179104477612
11/05/2012,56,20,10,11.964285714285714
11/06/2012,59,30,5,13.847457627118644
11/07/2012,51,30,5,16.137254901960784
11/08/2012,43,40,5,21.162790697674417
11/09/2012,78,20,3,14.91025641025641
11/10/2012,67,35,3,15.313432835820896
11/11/2012,49,30,5,15.10204081632653
11/11/2012,14,19,4,10.214285714285714
11/12/2012,55,30,-999,-1.8181818181818181
11/13/2012,49,30,2,12.16326530612245
11/14/2012,63,20,7,12.26984126984127
11/15/2012,43,20,10,14.186046511627907
11/16/2012,45,20,-999,-10.555555555555555
11/17/2012,64,40,5,15.5
11/18/2012,63,45,10,18.396825396825395
11/19/2012,81,80,4,31.839506172839506
11/20/2012,55,60,5,24.818181818181817
11/21/2012,63,70,10,34.111111111111114
11/22/2012,65,30,5,16.06153846153846
11/23/2012,63,60,2,23.96825396825397
11/24/2012,39,70,-999,3.769230769230769
11/25/2012,23,20,7,14.391304347826088
11/26/2012,43,20,2,10.232558139534884
11/27/2012,41,20,0,12.926829268292684
11/28/2012,46,20,0,9.23913043478261
11/29/2012,39,20,1,12.205128205128204
11/30/2012,53,15,3,9.452830188679245
12/01/2012,57,20,5,9.929824561403509
12/02/2012,51,30,5,11.843137254901961
12/03/2012,24,10,0,8.333333333333334
12/04/2012,44,80,5,14.568181818181818
12/05/2012,53,20,0,10.773584905660377
12/06/2012,43,20,3,11.813953488372093
12/07/2012,59,20,1,10.186440677966102
12/08/2012,48,20,0,11.125
12/09/2012,59,20,5,11.423728813559322
12/10/2012,53,10,1,9.132075471698114
12/11/2012,45,20,1,9.444444444444445
12/12/2012,53,20,6,10.320754716981131
12/13/2012,45,100,5,12.666666666666666
12/14/2012,53,20,4,11.81132075471698
12/15/2012,64,30,1,12.140625
12/16/2012,49,20,-999,-7.020408163265306
12/17/2012,31,20,0,10.483870967741936
12/18/2012,56,30,-999,-5.5
12/19/2012,56,20,3,11.017857142857142
12/20/2012,44,20,9,10.886363636363637
12/21/2012,51,30,4,11.843137254901961
12/22/2012,60,30,5,13.283333333333333
12/23/2012,49,60,2,28.102040816326532
12/24/2012,67,45,5,16.28358208955224
12/25/2012,65,40,-999,2.1076923076923078
12/26/2012,67,20,-999,-2.8805970149253732
12/27/2012,57,100,-999,21.24561403508772
12/28/2012,57,100,-999,23.087719298245613
12/29/2012,74,50,4,17
12/30/2012,74,90,4,44.78378378378378
12/31/2012,69,30,4,15.46376811594203
01/01/2013,64,50,-999,-61.3125
01/02/2013,64,65,5,33.609375
01/03/2013,54,70,5,32.111111111111114
